date,close_indice,close_future
2021-04-17,1276.87,1273.5
2021-04-18,1276.87,1273.5
2021-04-19,1306.22,1312.0
2021-04-20,1312.6801,1300.0
2021-04-21,1312.6801,1300.0
2021-04-22,1271.53,1261.2
2021-04-23,1301.39,1296.7
2021-04-24,1301.39,1296.7
2021-04-25,1301.39,1296.7
2021-04-26,1275.04,1254.0
2021-04-27,1283.8101,1265.0
2021-04-28,1294.0601,1275.0
2021-04-29,1312.28,1301.0
2021-04-30,1312.28,1301.0
2021-05-01,1312.28,1301.0
2021-05-02,1312.28,1301.0
2021-05-03,1312.28,1301.0
2021-05-04,1328.03,1320.0
2021-05-05,1346.89,1335.9
2021-05-06,1344.64,1336.5
2021-05-07,1340.73,1323.8
2021-05-08,1340.73,1323.8
2021-05-09,1340.73,1323.8
2021-05-10,1370.66,1375.0
2021-05-11,1359.1899,1350.1
2021-05-12,1380.17,1382.1
2021-05-13,1370.1801,1363.9
2021-05-14,1380.02,1374.0
2021-05-15,1380.02,1374.0
2021-05-16,1380.02,1374.0
2021-05-17,1371.36,1367.0
2021-05-18,1378.59,1375.0
2021-05-19,1401.71,1404.9
2021-05-20,1424.92,1425.0
2021-05-21,1425.04,1414.0
2021-05-22,1425.04,1414.0
2021-05-23,1425.04,1414.0
2021-05-24,1430.48,1426.0
2021-05-25,1444.01,1438.0
2021-05-26,1455.11,1453.0
2021-05-27,1437.38,1430.0
2021-05-28,1458.78,1462.5
2021-05-29,1458.78,1462.5
2021-05-30,1458.78,1462.5
2021-05-31,1474.78,1479.5
2021-06-01,1482.92,1487.6
2021-06-02,1478.85,1481.8
2021-06-03,1504.37,1504.0
2021-06-04,1508.35,1505.9
2021-06-05,1508.35,1505.9
2021-06-06,1508.35,1505.9
2021-06-07,1484.1,1485.0
2021-06-08,1438.97,1429.9
2021-06-09,1457.76,1459.0
2021-06-10,1451.1801,1453.0
2021-06-11,1487.61,1493.2
2021-06-12,1487.61,1493.2
2021-06-13,1487.61,1493.2
2021-06-14,1495.51,1497.5
2021-06-15,1487.04,1491.0
2021-06-16,1465.58,1468.9
2021-06-17,1461.91,1463.9
2021-06-18,1481.3,1485.0
2021-06-19,1481.3,1485.0
2021-06-20,1481.3,1485.0
2021-06-21,1478.29,1474.1
2021-06-22,1489.24,1490.4
2021-06-23,1489.53,1490.4
2021-06-24,1486.96,1488.0
2021-06-25,1500.3,1505.0
2021-06-26,1500.3,1505.0
2021-06-27,1500.3,1505.0
2021-06-28,1521.41,1523.8
2021-06-29,1529.97,1533.9
2021-06-30,1529.0,1529.2
2021-07-01,1545.14,1549.0
2021-07-02,1554.59,1556.1
2021-07-03,1554.59,1556.1
2021-07-04,1554.59,1556.1
2021-07-05,1557.41,1568.0
2021-07-06,1488.42,1501.0
2021-07-07,1538.77,1535.0
2021-07-08,1521.21,1513.0
2021-07-09,1494.4301,1497.0
2021-07-10,1494.4301,1497.0
2021-07-11,1494.4301,1497.0
2021-07-12,1443.1,1443.9
2021-07-13,1440.87,1446.9
2021-07-14,1410.3,1409.0
2021-07-15,1430.29,1431.8
2021-07-16,1438.05,1440.0
2021-07-17,1438.05,1440.0
2021-07-18,1438.05,1440.0
2021-07-19,1374.15,1368.0
2021-07-20,1411.02,1405.0
2021-07-21,1406.54,1402.0
2021-07-22,1428.48,1427.1
2021-07-23,1401.53,1401.0
2021-07-24,1401.53,1401.0
2021-07-25,1401.53,1401.0
2021-07-26,1403.96,1408.1
2021-07-27,1409.85,1405.3
2021-07-28,1407.5,1407.8
2021-07-29,1427.55,1431.1
2021-07-30,1447.23,1445.0
2021-07-31,1447.23,1445.0
2021-08-01,1447.23,1445.0
2021-08-02,1448.21,1447.9
2021-08-03,1469.87,1475.0
2021-08-04,1472.2,1470.9
2021-08-05,1486.46,1487.1
2021-08-06,1476.79,1472.9
2021-08-07,1476.79,1472.9
2021-08-08,1476.79,1472.9
2021-08-09,1497.83,1500.5
2021-08-10,1494.41,1494.1
2021-08-11,1487.91,1486.0
2021-08-12,1477.0601,1477.1
2021-08-13,1484.25,1485.0
2021-08-14,1484.25,1485.0
2021-08-15,1484.25,1485.0
2021-08-16,1500.77,1503.0
2021-08-17,1494.12,1493.0
2021-08-18,1489.54,1490.9
2021-08-19,1505.01,1500.0
2021-08-20,1450.45,1445.0
2021-08-21,1450.45,1445.0
2021-08-22,1450.45,1445.0
2021-08-23,1412.0,1411.2
2021-08-24,1418.26,1415.1
2021-08-25,1428.51,1431.5
2021-08-26,1412.45,1406.7
2021-08-27,1418.5699,1420.0
2021-08-28,1418.5699,1420.0
2021-08-29,1418.5699,1420.0
2021-08-30,1431.05,1432.9
2021-08-31,1428.66,1427.0
2021-09-01,1426.9399,1428.6
2021-09-02,1426.9399,1428.6
2021-09-03,1426.9399,1428.6
2021-09-04,1426.9399,1428.6
2021-09-05,1426.9399,1428.6
2021-09-06,1441.54,1444.6
2021-09-07,1444.1,1441.0
2021-09-08,1433.71,1431.1
2021-09-09,1447.28,1446.0
2021-09-10,1448.33,1447.1
2021-09-11,1448.33,1447.1
2021-09-12,1448.33,1447.1
2021-09-13,1444.99,1442.0
2021-09-14,1438.16,1436.5
2021-09-15,1444.85,1447.5
2021-09-16,1448.98,1449.8
2021-09-17,1455.59,1456.8
2021-09-18,1455.59,1456.8
2021-09-19,1455.59,1456.8
2021-09-20,1458.66,1452.0
2021-09-21,1446.22,1440.0
2021-09-22,1453.22,1440.8
2021-09-23,1458.23,1450.0
2021-09-24,1459.9399,1449.9
2021-09-25,1459.9399,1449.9
2021-09-26,1459.9399,1449.9
2021-09-27,1439.2,1434.0
2021-09-28,1451.12,1454.4
2021-09-29,1450.52,1449.2
2021-09-30,1453.76,1452.0
2021-10-01,1441.83,1441.0
2021-10-02,1441.83,1441.0
2021-10-03,1441.83,1441.0
2021-10-04,1443.61,1440.3
2021-10-05,1456.21,1449.0
2021-10-06,1461.72,1452.0
2021-10-07,1462.74,1454.8
2021-10-08,1476.54,1474.5
2021-10-09,1476.54,1474.5
2021-10-10,1476.54,1474.5
2021-10-11,1510.27,1513.5
2021-10-12,1509.5699,1510.0
2021-10-13,1505.55,1503.1
2021-10-14,1503.38,1505.9
2021-10-15,1504.84,1504.5
2021-10-16,1504.84,1504.5
2021-10-17,1504.84,1504.5
2021-10-18,1510.49,1510.5
2021-10-19,1507.1899,1510.6
2021-10-20,1505.03,1504.0
2021-10-21,1489.26,1489.0
2021-10-22,1488.71,1492.0
2021-10-23,1488.71,1492.0
2021-10-24,1488.71,1492.0
2021-10-25,1476.97,1478.0
2021-10-26,1482.62,1489.0
2021-10-27,1516.46,1523.3
2021-10-28,1529.26,1532.3
2021-10-29,1532.35,1533.7
2021-10-30,1532.35,1533.7
2021-10-31,1532.35,1533.7
2021-11-01,1516.75,1522.7
2021-11-02,1521.35,1524.1
2021-11-03,1530.65,1528.5
2021-11-04,1528.21,1529.8
2021-11-05,1531.76,1535.1
2021-11-06,1531.76,1535.1
2021-11-07,1531.76,1535.1
2021-11-08,1535.66,1537.7
2021-11-09,1527.13,1525.5
2021-11-10,1523.79,1529.3
2021-11-11,1514.36,1513.0
2021-11-12,1527.9399,1530.7
2021-11-13,1527.9399,1530.7
2021-11-14,1527.9399,1530.7
2021-11-15,1528.6801,1527.8
2021-11-16,1517.22,1517.3
2021-11-17,1519.58,1520.4
2021-11-18,1503.42,1504.1
2021-11-19,1500.05,1502.5
2021-11-20,1500.05,1502.5
2021-11-21,1500.05,1502.5
2021-11-22,1517.04,1512.5
2021-11-23,1533.12,1528.9
2021-11-24,1565.29,1562.1
2021-11-25,1572.46,1566.6
2021-11-26,1566.55,1556.7
2021-11-27,1566.55,1556.7
2021-11-28,1566.55,1556.7
2021-11-29,1553.04,1551.9
2021-11-30,1537.59,1537.1
2021-12-01,1549.8101,1553.9
2021-12-02,1540.88,1540.0
2021-12-03,1503.98,1509.0
2021-12-04,1503.98,1509.0
2021-12-05,1503.98,1509.0
2021-12-06,1480.92,1480.2
2021-12-07,1512.62,1512.0
2021-12-08,1516.16,1511.0
2021-12-09,1529.61,1532.0
2021-12-10,1519.46,1520.5
2021-12-11,1519.46,1520.5
2021-12-12,1519.46,1520.5
2021-12-13,1520.8,1525.9
2021-12-14,1516.4399,1518.5
2021-12-15,1519.42,1520.1
2021-12-16,1510.17,1510.0
2021-12-17,1513.5601,1520.0
2021-12-18,1513.5601,1520.0
2021-12-19,1513.5601,1520.0
2021-12-20,1513.6,1508.0
2021-12-21,1511.48,1512.5
2021-12-22,1504.12,1508.0
2021-12-23,1477.37,1488.2
2021-12-24,1506.67,1509.0
2021-12-25,1506.67,1509.0
2021-12-26,1506.67,1509.0
2021-12-27,1514.55,1516.0
2021-12-28,1523.54,1520.2
2021-12-29,1515.9399,1519.0
2021-12-30,1519.62,1525.5
2021-12-31,1535.71,1537.0
2022-01-01,1535.71,1537.0
2022-01-02,1535.71,1537.0
2022-01-03,1535.71,1537.0
2022-01-04,1558.87,1558.5
2022-01-05,1546.01,1549.0
2022-01-06,1544.95,1545.1
2022-01-07,1532.24,1539.6
2022-01-08,1532.24,1539.6
2022-01-09,1532.24,1539.6
2022-01-10,1514.7,1513.1
2022-01-11,1499.74,1503.6
2022-01-12,1530.04,1528.9
2022-01-13,1526.4301,1525.7
2022-01-14,1523.5699,1520.1
2022-01-15,1523.5699,1520.1
2022-01-16,1523.5699,1520.1
2022-01-17,1478.61,1480.0
2022-01-18,1477.0601,1482.5
2022-01-19,1482.55,1482.0
2022-01-20,1492.8101,1492.6
2022-01-21,1502.16,1498.9
2022-01-22,1502.16,1498.9
2022-01-23,1502.16,1498.9
2022-01-24,1471.3101,1468.2
2022-01-25,1516.16,1503.9
2022-01-26,1525.3101,1519.0
2022-01-27,1516.5699,1512.0
2022-01-28,1532.24,1528.0
2022-01-29,1532.24,1528.0
2022-01-30,1532.24,1528.0
2022-01-31,1532.24,1528.0
2022-02-01,1532.24,1528.0
2022-02-02,1532.24,1528.0
2022-02-03,1532.24,1528.0
2022-02-04,1532.24,1528.0
2022-02-05,1532.24,1528.0
2022-02-06,1532.24,1528.0
2022-02-07,1541.25,1532.8
2022-02-08,1550.46,1535.5
2022-02-09,1552.4399,1541.0
2022-02-10,1548.95,1542.5
2022-02-11,1545.92,1543.0
2022-02-12,1545.92,1543.0
2022-02-13,1545.92,1543.0
2022-02-14,1505.0699,1510.1
2022-02-15,1527.36,1522.0
2022-02-16,1521.47,1521.0
2022-02-17,1540.51,1540.2
2022-02-18,1531.47,1540.2
2022-02-19,1531.47,1540.2
2022-02-20,1531.47,1540.2
2022-02-21,1533.4,1530.0
2022-02-22,1532.36,1517.5
2022-02-23,1538.83,1529.3
2022-02-24,1522.04,1514.7
2022-02-25,1526.5,1517.0
2022-02-26,1526.5,1517.0
2022-02-27,1526.5,1517.0
2022-02-28,1517.1801,1511.2
2022-03-01,1520.12,1515.6
2022-03-02,1498.61,1502.0
2022-03-03,1522.49,1517.5
2022-03-04,1525.34,1513.0
2022-03-05,1525.34,1513.0
2022-03-06,1525.34,1513.0
2022-03-07,1509.12,1504.2
2022-03-08,1490.17,1490.3
2022-03-09,1489.25,1490.8
2022-03-10,1490.24,1490.0
2022-03-11,1477.14,1476.0
2022-03-12,1477.14,1476.0
2022-03-13,1477.14,1476.0
2022-03-14,1461.1,1463.4
2022-03-15,1468.89,1464.5
2022-03-16,1472.6899,1471.8
2022-03-17,1469.92,1472.2
2022-03-18,1476.9399,1472.2
2022-03-19,1476.9399,1472.2
2022-03-20,1476.9399,1472.2
2022-03-21,1502.67,1494.9
2022-03-22,1513.4,1500.0
2022-03-23,1505.59,1497.2
2022-03-24,1497.4399,1494.0
2022-03-25,1498.36,1494.0
2022-03-26,1498.36,1494.0
2022-03-27,1498.36,1494.0
2022-03-28,1484.16,1483.5
2022-03-29,1500.5699,1493.4
2022-03-30,1500.23,1489.8
2022-03-31,1508.53,1496.0
2022-04-01,1542.47,1525.0
2022-04-02,1542.47,1525.0
2022-04-03,1542.47,1525.0
2022-04-04,1548.04,1528.4
2022-04-05,1539.2,1525.3
2022-04-06,1557.11,1540.3
2022-04-07,1541.96,1529.8
2022-04-08,1524.3101,1523.9
2022-04-09,1524.3101,1523.9
2022-04-10,1524.3101,1523.9
2022-04-11,1524.3101,1523.9
2022-04-12,1507.2,1509.4
2022-04-13,1525.39,1519.7
2022-04-14,1518.01,1512.5
2022-04-15,1493.74,1492.6
2022-04-16,1493.74,1492.6
2022-04-17,1493.74,1492.6
2022-04-18,1468.25,1479.0
2022-04-19,1440.61,1457.8
2022-04-20,1435.5,1439.0
2022-04-21,1426.87,1450.0
2022-04-22,1444.3199,1445.0
2022-04-23,1444.3199,1445.0
2022-04-24,1444.3199,1445.0
2022-04-25,1366.39,1353.1
2022-04-26,1396.9,1391.0
2022-04-27,1402.03,1401.0
2022-04-28,1400.88,1392.0
2022-04-29,1417.3101,1409.0
2022-04-30,1417.3101,1409.0
2022-05-01,1417.3101,1409.0
2022-05-02,1417.3101,1409.0
2022-05-03,1417.3101,1409.0
2022-05-04,1389.59,1383.0
2022-05-05,1404.88,1402.5
2022-05-06,1373.21,1362.0
2022-05-07,1373.21,1362.0
2022-05-08,1373.21,1362.0
2022-05-09,1314.04,1308.1
2022-05-10,1345.46,1335.0
2022-05-11,1349.8199,1337.0
2022-05-12,1279.76,1270.0
2022-05-13,1223.76,1225.0
2022-05-14,1223.76,1225.0
2022-05-15,1223.76,1225.0
2022-05-16,1215.08,1212.0
2022-05-17,1279.55,1280.9
2022-05-18,1286.41,1281.0
2022-05-19,1283.55,1283.0
2022-05-20,1282.51,1276.8
2022-05-21,1282.51,1276.8
2022-05-22,1282.51,1276.8
2022-05-23,1255.35,1253.1
2022-05-24,1272.71,1267.0
2022-05-25,1310.7,1299.3
2022-05-26,1309.5,1300.9
2022-05-27,1335.6801,1322.5
2022-05-28,1335.6801,1322.5
2022-05-29,1335.6801,1322.5
2022-05-30,1342.87,1325.6
2022-05-31,1332.59,1320.5
2022-06-01,1335.49,1326.0
2022-06-02,1325.49,1315.0
2022-06-03,1327.4,1318.5
2022-06-04,1327.4,1318.5
2022-06-05,1327.4,1318.5
2022-06-06,1327.04,1315.0
2022-06-07,1324.37,1315.0
2022-06-08,1342.03,1333.0
2022-06-09,1342.92,1335.3
2022-06-10,1325.6899,1311.1
2022-06-11,1325.6899,1311.1
2022-06-12,1325.6899,1311.1
2022-06-13,1260.85,1260.2
2022-06-14,1261.16,1268.3
2022-06-15,1253.09,1251.3
2022-06-16,1280.37,1286.0
2022-06-17,1258.03,1245.2
2022-06-18,1258.03,1245.2
2022-06-19,1258.03,1245.2
2022-06-20,1225.5601,1212.0
2022-06-21,1224.54,1228.0
2022-06-22,1227.1801,1216.0
2022-06-23,1240.58,1227.8
2022-06-24,1235.47,1227.0
2022-06-25,1235.47,1227.0
2022-06-26,1235.47,1227.0
2022-06-27,1256.67,1247.9
2022-06-28,1273.41,1261.0
2022-06-29,1273.4,1260.5
2022-06-30,1248.92,1240.1
2022-07-01,1252.24,1242.0
2022-07-02,1252.24,1242.0
2022-07-03,1252.24,1242.0
2022-07-04,1248.37,1242.0
2022-07-05,1242.05,1234.9
2022-07-06,1211.9399,1218.0
2022-07-07,1229.23,1225.0
2022-07-08,1231.54,1225.0
2022-07-09,1231.54,1225.0
2022-07-10,1231.54,1225.0
2022-07-11,1209.02,1200.7
2022-07-12,1219.4399,1213.5
2022-07-13,1216.9399,1210.0
2022-07-14,1221.9399,1215.7
2022-07-15,1220.14,1210.1
2022-07-16,1220.14,1210.1
2022-07-17,1220.14,1210.1
2022-07-18,1214.28,1215.4
2022-07-19,1211.7,1213.0
2022-07-20,1225.62,1226.1
2022-07-21,1235.25,1234.1
2022-07-22,1228.84,1225.6
2022-07-23,1228.84,1225.6
2022-07-24,1228.84,1225.6
2022-07-25,1222.6,1221.9
2022-07-26,1218.49,1218.9
2022-07-27,1219.4301,1223.0
2022-07-28,1236.14,1231.6
2022-07-29,1232.0,1230.7
2022-07-30,1232.0,1230.7
2022-07-31,1232.0,1230.7
2022-08-01,1256.25,1244.4
2022-08-02,1265.97,1245.9
2022-08-03,1269.83,1250.0
2022-08-04,1277.73,1257.5
2022-08-05,1272.0601,1264.5
2022-08-06,1272.0601,1264.5
2022-08-07,1272.0601,1264.5
2022-08-08,1276.7,1266.0
2022-08-09,1281.4399,1272.7
2022-08-10,1277.15,1270.6
2022-08-11,1272.33,1268.0
2022-08-12,1280.96,1280.1
2022-08-13,1280.96,1280.1
2022-08-14,1280.96,1280.1
2022-08-15,1293.79,1293.0
2022-08-16,1295.1,1296.9
2022-08-17,1300.4,1309.0
2022-08-18,1299.9301,1304.8
2022-08-19,1294.9301,1281.0
2022-08-20,1294.9301,1281.0
2022-08-21,1294.9301,1281.0
2022-08-22,1285.45,1271.0
2022-08-23,1292.0,1283.1
2022-08-24,1296.41,1285.2
2022-08-25,1311.55,1303.0
2022-08-26,1306.8101,1293.0
2022-08-27,1306.8101,1293.0
2022-08-28,1306.8101,1293.0
2022-08-29,1293.25,1286.0
2022-08-30,1298.14,1287.0
2022-08-31,1301.4399,1293.9
2022-09-01,1301.4399,1293.9
2022-09-02,1301.4399,1293.9
2022-09-03,1301.4399,1293.9
2022-09-04,1301.4399,1293.9
2022-09-05,1298.15,1286.0
2022-09-06,1299.0601,1290.0
2022-09-07,1268.95,1265.0
2022-09-08,1265.5699,1264.1
2022-09-09,1275.64,1275.0
2022-09-10,1275.64,1275.0
2022-09-11,1275.64,1275.0
2022-09-12,1275.6,1276.8
2022-09-13,1272.48,1272.0
2022-09-14,1260.88,1259.0
2022-09-15,1262.8199,1262.2
2022-09-16,1252.78,1237.0
2022-09-17,1252.78,1237.0
2022-09-18,1252.78,1237.0
2022-09-19,1229.88,1223.5
2022-09-20,1241.0699,1232.7
2022-09-21,1228.2,1219.6
2022-09-22,1228.9399,1225.0
2022-09-23,1215.41,1210.0
2022-09-24,1215.41,1210.0
2022-09-25,1215.41,1210.0
2022-09-26,1187.22,1192.0
2022-09-27,1182.46,1185.0
2022-09-28,1160.66,1165.0
2022-09-29,1147.4399,1148.0
2022-09-30,1152.01,1150.0
2022-10-01,1152.01,1150.0
2022-10-02,1152.01,1150.0
2022-10-03,1102.0,1102.6
2022-10-04,1097.72,1102.0
2022-10-05,1117.38,1115.2
2022-10-06,1081.36,1080.0
2022-10-07,1039.54,1032.2
2022-10-08,1039.54,1032.2
2022-10-09,1039.54,1032.2
2022-10-10,1038.9301,1032.5
2022-10-11,1001.68,989.0
2022-10-12,1034.9301,1025.1
2022-10-13,1051.24,1039.6
2022-10-14,1061.39,1048.0
2022-10-15,1061.39,1048.0
2022-10-16,1061.39,1048.0
2022-10-17,1047.2,1050.0
2022-10-18,1059.0601,1057.9
2022-10-19,1053.65,1053.0
2022-10-20,1053.26,1058.0
2022-10-21,1010.57,985.0
2022-10-22,1010.57,985.0
2022-10-23,1010.57,985.0
2022-10-24,973.88,942.0
2022-10-25,991.52002,961.0
2022-10-26,990.40997,967.5
2022-10-27,1028.5,1025.0
2022-10-28,1029.49,1016.0
2022-10-29,1029.49,1016.0
2022-10-30,1029.49,1016.0
2022-10-31,1026.84,1024.0
2022-11-01,1038.09,1018.0
2022-11-02,1025.1801,1021.0
2022-11-03,1023.8,1001.1
2022-11-04,997.91998,980.0
2022-11-05,997.91998,980.0
2022-11-06,997.91998,980.0
2022-11-07,972.84998,950.0
2022-11-08,980.09003,972.1
2022-11-09,979.67999,959.0
2022-11-10,936.79999,912.8
2022-11-11,948.85999,938.0
2022-11-12,948.85999,938.0
2022-11-13,948.85999,938.0
2022-11-14,936.31,932.0
2022-11-15,904.77002,895.0
2022-11-16,940.28998,957.6
2022-11-17,971.03998,972.5
2022-11-18,971.20001,963.0
2022-11-19,971.20001,963.0
2022-11-20,971.20001,963.0
2022-11-21,956.89001,938.2
2022-11-22,945.53998,926.0
2022-11-23,938.72998,924.1
2022-11-24,940.76001,938.9
2022-11-25,967.48999,969.0
2022-11-26,967.48999,969.0
2022-11-27,967.48999,969.0
2022-11-28,1004.34,993.7
2022-11-29,1029.04,1015.5
2022-11-30,1049.21,1027.9
2022-12-01,1042.64,1029.0
2022-12-02,1092.99,1101.0
2022-12-03,1092.99,1101.0
2022-12-04,1092.99,1101.0
2022-12-05,1110.9399,1104.0
2022-12-06,1054.0601,1046.0
2022-12-07,1047.58,1053.3
2022-12-08,1062.73,1055.0
2022-12-09,1065.08,1070.0
2022-12-10,1065.08,1070.0
2022-12-11,1065.08,1070.0
2022-12-12,1037.42,1035.2
2022-12-13,1056.4301,1058.0
2022-12-14,1056.17,1059.6
2022-12-15,1068.08,1065.1
2022-12-16,1064.0699,1060.0
2022-12-17,1064.0699,1060.0
2022-12-18,1064.0699,1060.0
2022-12-19,1050.22,1045.0
2022-12-20,1029.79,1027.0
2022-12-21,1033.1,1037.0
2022-12-22,1038.34,1037.7
2022-12-23,1034.13,1034.8
2022-12-24,1034.13,1034.8
2022-12-25,1034.13,1034.8
2022-12-26,987.77002,986.4
2022-12-27,1007.36,1001.0
2022-12-28,1013.95,1008.0
2022-12-29,1008.3,993.0
2022-12-30,1005.19,1004.5
2022-12-31,1005.19,1004.5
2023-01-01,1005.19,1004.5
2023-01-02,1005.19,1004.5
2023-01-03,1047.25,1045.5
2023-01-04,1050.15,1042.7
2023-01-05,1061.9,1053.8
2023-01-06,1057.4,1051.0
2023-01-07,1057.4,1051.0
2023-01-08,1057.4,1051.0
2023-01-09,1061.14,1053.6
2023-01-10,1060.53,1056.6
2023-01-11,1065.22,1062.7
2023-01-12,1066.24,1065.2
2023-01-13,1069.86,1069.1
2023-01-14,1069.86,1069.1
2023-01-15,1069.86,1069.1
2023-01-16,1075.71,1075.2
2023-01-17,1103.73,1107.0
2023-01-18,1115.72,1117.3
2023-01-19,1121.92,1121.0
2023-01-20,1121.92,1121.0
2023-01-21,1121.92,1121.0
2023-01-22,1121.92,1121.0
2023-01-23,1121.92,1121.0
2023-01-24,1121.92,1121.0
2023-01-25,1121.92,1121.0
2023-01-26,1121.92,1121.0
2023-01-27,1130.65,1127.0
2023-01-28,1130.65,1127.0
2023-01-29,1130.65,1127.0
2023-01-30,1113.95,1109.8
2023-01-31,1125.0699,1125.0
2023-02-01,1088.09,1088.5
2023-02-02,1093.48,1088.0
2023-02-03,1085.7,1081.9
2023-02-04,1085.7,1081.9
2023-02-05,1085.7,1081.9
2023-02-06,1094.37,1090.6
2023-02-07,1069.5,1067.3
2023-02-08,1073.38,1072.0
2023-02-09,1059.91,1057.0
2023-02-10,1048.74,1045.0
2023-02-11,1048.74,1045.0
2023-02-12,1048.74,1045.0
2023-02-13,1040.4,1038.6
2023-02-14,1034.9301,1030.9
2023-02-15,1043.34,1037.0
2023-02-16,1055.26,1052.3
2023-02-17,1053.72,1049.0
2023-02-18,1053.72,1049.0
2023-02-19,1053.72,1049.0
2023-02-20,1087.36,1088.0
2023-02-21,1080.9,1076.1
2023-02-22,1051.08,1043.8
